T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
260146, -151, 1089, -166, 187600, 65450, 11550
260166, -147, 1224, -257, 23170, 7350, -3500
260186, -125, 1381, -389, -165620, -84630, -78330
260206, -111, 1641, -486, -198240, -146720, -163590
260226, -129, 1997, -466, -31290, -135310, -184730
260246, -163, 1997, -466, 99960, -82110, -113190
260266, -155, 1997, -592, -48510, -62790, -21070
260286, -121, 1997, -715, -293090, -106330, -18760
260306, -109, 1997, -722, -228970, -147490, -94780
260326, -141, 1997, -627, 27580, -125650, -108010
260346, -136, 1997, -575, -31850, -77980, -3010
260366, -108, 1630, -466, -270410, -78260, 60200
260386, -95, 1287, -321, -205380, -113190, -2450
260406, -85, 862, -175, 10500, -125720, -67550
260426, -71, 445, -77, 61250, -117040, -53410
260446, -67, 487, -109, -18550, -111440, -2240
260466, -68, 928, -285, -89320, -115780, 35490
260486, -92, 1140, -345, -109900, -103880, 85960
260506, -142, 1151, -259, -44940, -32690, 209720
260526, -153, 878, -112, 197050, 50890, 276360
260546, -112, 494, -56, 156940, -57050, 92540
260566, -78, 262, -38, 70770, -162330, -60270
260586, -61, 201, -42, 22820, -213360, -124740
260606, -48, 277, -91, 14350, -225960, -137620
260626, -30, 378, -146, 42000, -204050, -107660
260646, -27, 241, -78, 117180, -139230, -23240
260666, -33, 168, -34, 193480, -73360, 60900
260686, -39, 124, -6, 226520, -44520, 96320
260706, -45, 98, 9, 226800, -43680, 97650
260726, -56, 121, 17, 205940, -61040, 79660
260746, -88, 246, 15, 164080, -93310, 48790
260766, -110, 401, -14, 80500, -145180, 5180
260786, -107, 468, -73, -64050, -215390, -44170
260806, -86, 467, -142, -214340, -274190, -75110
260826, -61, 420, -180, -280980, -289590, -72450
260846, -41, 400, -195, -217560, -252770, -43330
260866, -54, 588, -217, -48230, -179830, -5180
260886, -91, 942, -225, 152950, -96320, 36890
260906, -143, 1236, -190, 269150, -32340, 89250
260926, -171, 1320, -228, 161280, -26040, 132930
260946, -142, 1249, -344, -134820, -91490, 120470
260966, -94, 1159, -418, -314020, -167300, 55300
260986, -88, 1286, -382, -157500, -174790, -3290
261006, -118, 1557, -320, 151270, -118650, -5530
261026, -159, 1695, -324, 245000, -65380, 57610
261046, -160, 1701, -450, 19180, -59360, 140350
261066, -105, 1788, -554, -226170, -91910, 168350
261086, -126, 1997, -565, -120190, -116480, 108430
261106, -132, 1997, -520, 203280, -115220, 22820
261126, -148, 1997, -569, 199780, -106050, 32620
261146, -131, 1781, -532, -133980, -95130, 133700
261166, -126, 1671, -438, -204610, -90160, 170450
261186, -117, 1667, -341, 63000, -103040, 83230
261206, -103, 1502, -336, 181930, -131180, -2240
261226, -104, 1244, -349, 2380, -144340, 20370
261246, -102, 1040, -310, -179970, -124250, 111790
261266, -110, 975, -242, -139510, -93590, 162750
261286, -117, 1005, -193, 47460, -86730, 117530
261306, -102, 964, -181, 166040, -118230, 15680
261326, -84, 793, -177, 110810, -166110, -60760
261346, -70, 605, -160, -33320, -191100, -65660
261366, -68, 484, -142, -122640, -180740, -23310
261386, -71, 392, -104, -21420, -136430, 4270
261406, -75, 333, -69, 64330, -133560, -35840
261426, -75, 283, -40, 102970, -149170, -91840
261446, -69, 218, -21, 86940, -173530, -139720
261466, -59, 147, -9, 39550, -196070, -169190
261486, -49, 92, -4, -11550, -211120, -181720
261506, -38, 57, 0, -51730, -217910, -183820
261526, -32, 40, 0, -79870, -218330, -181300
261546, -25, 30, -1, -100380, -214480, -175770
261566, -22, 26, -1, -115780, -207410, -167860
261586, -19, 26, -6, -127260, -197610, -158410
261606, -16, 47, -24, -134260, -183750, -146510
261626, -2, 192, -117, -132090, -159810, -126420
261646, 43, 746, -430, -90370, -94290, -60760
261666, -170, 1123, -347, 127190, 129640, 210980
261686, -387, 1366, -170, 360710, 455770, 648970
261706, -338, 921, 67, 238630, 542850, 747320
261726, -253, 1234, -238, -109340, 203000, 191730
261746, -98, 1700, -717, -283990, -232400, -572320
261766, 67, 1997, -804, -126630, -241430, -699580
261786, -400, 1997, -567, 268730, 190330, -47320
261806, -669, 1737, -305, 290430, 656110, 760620
261826, -280, 1903, -501, -177590, 626990, 780570
261846, -9, 1997, -1234, -181440, 131530, -95130
261866, -253, 1997, -1099, 315630, -71190, -537110
261886, -629, 1997, -699, 194810, 366380, 282800
261906, -246, 1997, -605, -436730, 537110, 717290
261926, -67, 1997, -605, -64890, 91350, -73220
261946, -63, 1449, -320, 433370, -127750, -496930
261966, -127, 300, -54, 137060, 35070, -89810
261986, -97, 102, -51, -260400, 175700, 301140
262006, -109, 149, -93, -380240, 163940, 353150
262026, -134, 474, -332, -366380, 129360, 302890
262046, -301, 1108, -408, -126210, 68880, 94360
262066, -226, 1808, -318, 447300, -34230, -309260
262086, -83, 1419, -236, 725550, -147210, -547050
262106, -83, 466, -132, 278110, -147210, -325780
262126, -74, 87, -64, -311710, -52990, 73220
262146, -66, 97, -105, -487550, -25550, 223020
262166, -51, -46, -108, -446670, -40460, 201530
262186, -76, 43, -78, -284340, -43750, 115990
262206, -91, 77, -69, 55160, -33390, -62160
262226, -133, 185, -58, 336980, -45080, -247170
262246, -173, 575, -112, 463540, -117670, -413700
262266, -121, 753, -85, 363300, -179620, -446810
262286, -55, 241, -16, 111510, -204260, -352240
262306, -40, 118, 3, -73780, -196700, -239470
262326, -29, 139, -21, -143080, -191800, -186690
262346, -3, 455, -190, -179690, -174930, -131040
262366, -26, 504, -218, -166670, -84210, 29680
262386, -95, 530, -201, -76720, 88200, 298900
262406, -173, 774, -207, 23870, 230510, 488250
262426, -218, 747, -89, 100870, 298550, 537600
262446, -178, 498, -8, 112910, 213570, 340270
262466, -123, 390, -36, 46760, 2170, -35210
262486, -115, 986, -222, -41440, -149030, -284340
262506, -21, 1410, -465, -126490, -190470, -341600
262526, -81, 1386, -457, -147420, -69860, -124460
262546, -196, 1214, -301, -46270, 167440, 273420
262566, -220, 1195, -186, 36820, 283290, 442470
262586, -189, 1571, -302, 34090, 175560, 229110
262606, -66, 1997, -604, -41440, -41860, -150570
262626, -47, 1997, -751, -118720, -100940, -246120
262646, -229, 1997, -547, -57680, 107170, 106890
262666, -274, 1989, -363, 33040, 288890, 400610
262686, -140, 1997, -607, 7700, 130900, 113120
262706, 0, 1997, -727, -52150, -131880, -349860
262726, -108, 1938, -521, -39550, -79450, -271390
262746, -202, 1408, -271, 17640, 170170, 156730
262766, -183, 1147, -206, -15470, 244930, 293790
262786, -122, 1303, -330, -55370, 89460, 24640
262806, -34, 1587, -472, -25480, -77630, -282450
262826, -53, 1529, -422, 31220, -79380, -301280
262846, -148, 1244, -281, 61460, 81270, -14840
262866, -161, 909, -173, 13860, 224980, 261310
262886, -124, 678, -136, -52640, 213290, 257250
262906, -98, 577, -134, -35350, 91420, 33250
262926, -70, 521, -125, 40250, -16380, -182280
262946, -47, 474, -115, 94150, -52990, -261590
262966, -38, 357, -76, 107240, -32970, -220220
262986, -41, 215, -29, 93240, 14070, -115500
263006, -42, 130, -9, 66710, 57190, -11830
263026, -45, 119, -11, 42210, 77000, 47320
263046, -52, 140, -19, 25060, 79520, 70070
263066, -55, 139, -22, 18060, 75250, 73640
263086, -50, 101, -10, 26110, 68040, 60830
263106, -45, 69, 3, 64820, 40530, -2660
263126, -46, 76, 3, 74760, 21070, -37310
263146, -63, 160, -12, 76860, -140, -69370
263166, -82, 356, -58, 72520, -23730, -101990
263186, -80, 541, -107, 52360, -47250, -126630
263206, -74, 592, -124, 3360, -55090, -109690
263226, -82, 694, -168, -58590, -44170, -52850
263246, -95, 825, -213, -105980, -20650, 20160
263266, -117, 943, -237, -115710, 3640, 77140
263286, -134, 972, -216, -78120, 8050, 77070
263306, -113, 743, -153, -32200, -25130, 3010
263326, -84, 651, -136, -28210, -75390, -87360
263346, -77, 1118, -299, -62370, -103530, -122710
263366, -87, 1544, -451, -99050, -78680, -59290
263386, -154, 1841, -487, -88200, 24850, 133350
263406, -207, 1984, -424, -32620, 124950, 301140
263426, -165, 1997, -552, -2100, 74760, 199080
263446, -55, 1997, -748, -38010, -88760, -88130
263466, -91, 1997, -682, -69230, -109900, -123270
263486, -189, 1997, -458, -25130, 43470, 138320
263506, -183, 1827, -390, -8190, 95830, 225750
263526, -97, 1762, -477, -35840, -40460, -12320
263546, -48, 1557, -449, -35980, -147280, -206220
263566, -77, 1196, -304, 7210, -90160, -116900
263586, -104, 785, -158, 43400, 29750, 91000
263606, -114, 690, -124, 32690, 81270, 188650
263626, -133, 1081, -231, 5460, 51170, 144480
263646, -103, 1474, -382, -8960, -16940, 28910
263666, -81, 1607, -427, 1330, -68670, -65590
263686, -103, 1282, -304, 28700, -40110, -20230
263706, -113, 827, -163, 33180, 35350, 117670
263726, -96, 463, -68, 2590, 58450, 170940
263746, -72, 252, -34, -23030, 16730, 106960
263766, -63, 223, -34, -27160, -39060, 10990
263786, -62, 328, -78, -21280, -79380, -63140
263806, -53, 440, -121, -10360, -100310, -106610
263826, -44, 285, -65, 18620, -97720, -116340
263846, -40, 137, -9, 59010, -68600, -80360
263866, -31, 55, 14, 76160, -42980, -37800
263886, -27, 20, 24, 68320, -38710, -21070
263906, -24, 8, 28, 52360, -46830, -21210
263926, -24, 5, 30, 35070, -59780, -26950
263946, -25, 16, 25, -1330, -86450, -31920
